Cod Cli,SKU,Metrics,Vol Paq
156306,SKU 1,,10
156306,SKU 2,,5
156306,SKU 3,,5
156306,SKU 4,,3
156306,SKU 5,,5
156306,SKU 6,,5
156306,SKU 7,,60
156306,SKU 8,,20
156306,SKU 9,,30
156306,SKU 10,,20
156306,SKU 11,,20
156306,SKU 12,,25
156306,SKU 13,,10
156306,SKU 14,,1
156306,SKU 15,,1
156340,SKU 2,,40
156340,SKU 3,,10
156340,SKU 7,,80
156340,SKU 8,,30
156340,SKU 9,,40
156340,SKU 10,,10
156340,SKU 11,,40
156340,SKU 12,,30
156340,SKU 13,,1
156340,SKU 14,,10
156340,SKU 15,,21
156378,SKU 1,,130
156378,SKU 2,,90
156378,SKU 5,,10
156378,SKU 16,,50
156378,SKU 7,,90
156378,SKU 8,,650
156378,SKU 9,,550
156378,SKU 10,,348
156378,SKU 11,,360
156378,SKU 12,,230
156378,SKU 13,,60
156378,SKU 17,,80
156378,SKU 18,,80
156378,SKU 19,,20
156378,SKU 14,,51
156378,SKU 15,,61
156378,SKU 20,,20
156421,SKU 1,,10
156421,SKU 2,,30
156421,SKU 3,,10
156421,SKU 5,,10
156421,SKU 16,,5
156421,SKU 8,,120
156421,SKU 9,,40
156421,SKU 11,,20
156421,SKU 12,,5
156421,SKU 13,,20
156421,SKU 14,,1
156421,SKU 15,,1
156458,SKU 2,,5
156458,SKU 7,,5
156458,SKU 8,,20
156458,SKU 9,,10
156458,SKU 11,,10
156458,SKU 12,,5
156458,SKU 13,,5
156458,SKU 14,,16
156458,SKU 15,,5
156492,SKU 2,,50
156492,SKU 8,,115
156492,SKU 9,,50
156492,SKU 11,,35
156492,SKU 12,,175
156492,SKU 13,,1
156492,SKU 14,,1
156492,SKU 15,,30
1010011,SKU 2,,40
1010011,SKU 4,,2
1010011,SKU 21,,4
1010011,SKU 22,,10
1010011,SKU 8,,1
1010011,SKU 9,,1
1010011,SKU 11,,181
1010011,SKU 12,,1
1010011,SKU 13,,1
1010011,SKU 17,,10
1010011,SKU 18,,10
1010011,SKU 14,,56
1010011,SKU 15,,56
1010049,SKU 1,,20
1010049,SKU 2,,150
1010049,SKU 3,,40
1010049,SKU 4,,6
1010049,SKU 21,,11
1010049,SKU 16,,10
1010049,SKU 7,,100
1010049,SKU 8,,141
1010049,SKU 9,,41
1010049,SKU 10,,30
1010049,SKU 11,,111
1010049,SKU 12,,11
1010049,SKU 13,,1
1010049,SKU 14,,22
1010049,SKU 15,,1
1020017,SKU 1,,90
1020017,SKU 2,,100
1020017,SKU 16,,20
1020017,SKU 7,,80
1020017,SKU 8,,41
1020017,SKU 9,,121
1020017,SKU 10,,50
1020017,SKU 11,,91
1020017,SKU 12,,1
1020017,SKU 13,,31
1020017,SKU 17,,-13
1020017,SKU 18,,170
1020017,SKU 14,,1
1020017,SKU 15,,51
1020017,SKU 23,,40
1020020,SKU 3,,20
1020020,SKU 21,,6
1020020,SKU 5,,20
1020020,SKU 22,,10
1020020,SKU 24,,10
1020020,SKU 8,,121
1020020,SKU 9,,41
1020020,SKU 11,,21
1020020,SKU 12,,1
1020020,SKU 13,,31
1020020,SKU 18,,20
1020020,SKU 14,,42
1020020,SKU 15,,12
1020020,SKU 20,,30
1020041,SKU 9,,0
1020041,SKU 11,,10
1020041,SKU 12,,5
1020117,SKU 1,,20
1020117,SKU 2,,10
1020117,SKU 3,,20
1020117,SKU 4,,4
1020117,SKU 21,,12
1020117,SKU 5,,10
1020117,SKU 16,,10
1020117,SKU 6,,10
1020117,SKU 7,,100
1020117,SKU 22,,20
1020117,SKU 8,,340
1020117,SKU 9,,300
